Country,ccode,year,Approval_Smoothed,Approval_Not_Smoothed,NET_Smoothed,NET_Not_Smoothed,Relative_Smoothed,Relative_Not_Smoothed
Australia,Australia,2002,56.195278,56.398571,24.817551,28.275829,63.534809,65.864159
Australia,Australia,2003,59.328911,59.02618,31.421181,31.037809,67.237907,67.176483
Australia,Australia,2004,56.665901,55.415089,27.36253,23.87694,65.275581,63.2346
Australia,Australia,2005,55.167641,54.206421,22.34079,19.151501,62.618778,60.682281
Australia,Australia,2006,53.38707,52.56345,17.76148,15.33613,60.103561,58.596458
Australia,Australia,2007,50.071739,49.2229,10.78145,8.3994493,56.252281,54.742069
Australia,Australia,2008,64.586563,66.05909,42.140572,48.023628,73.916206,77.97831
Australia,Australia,2009,66.792282,65.640129,46.4272,43.36068,76.171967,74.288696
Australia,Australia,2010,53.675621,50.600128,23.47109,14.27847,63.91811,58.049381
Australia,Australia,2011,41.02388,38.794891,-3.8447731,-11.82417,48.795502,43.554008
Australia,Australia,2012,36.046059,35.906109,-16.261589,-17.599661,41.385849,40.288651
Australia,Australia,2013,39.79739,41.432739,-9.8191786,-4.7762151,44.27906,47.27166
Australia,Australia,2014,41.208302,42.18948,-9.553709,-6.8175631,44.429482,46.178761
Australia,Australia,2015,49.578178,51.409328,10.72987,18.367689,56.267101,61.490559
Australia,Australia,2016,43.162491,42.249359,.60347682,-1.340993,50.42136,49.087158
Australia,Australia,2017,37.674492,37.471439,-11.73553,-12.77013,43.468899,42.719212
Australia,Australia,2018,41.560478,42.833279,-5.200716,-1.120118,46.767159,49.326118
Austria,Austria,1987,33.680561,33.80262,-.4872095,-3.595603,48.424702,45.973
Austria,Austria,1988,36.712769,37.764881,2.896944,2.2328789,51.289761,50.844742
Austria,Austria,1989,39.431831,39.705502,4.9374499,3.035656,53.053902,51.60675
Austria,Austria,1990,40.577942,39.705502,5.8811059,3.035656,53.855621,51.60675
Austria,Austria,1991,42.657551,41.727139,6.8230672,3.89816,54.696941,52.41663
Austria,Austria,1992,46.652351,45.931831,13.73993,15.13703,59.231731,59.454182
